title,salary,location,employer,employer_rating,summary,search_city,search_role
"Sr. Manager, Strategic Insights & Analytics",,"San Francisco, CA 94110 (Mission area)•Temporarily Remote",Eat Just,3.7,"Collect and analyze qualitative and quantitative data using a variety of research methods and data sources to understand consumer preferences, to develop…",San+Francisco,data analyst
,,"San Francisco, CA+1 location•Remote","Evergreen Technologies, LLC.",4.0,"A minimum of 5 years' experience in IT with at least 3 years of demonstrated excellence in the development, implementation and operational support of large…",San+Francisco,data analyst
Strategic Business Analyst,"$115,000 - $125,000 a year","San Francisco, CA",Control Risks,3.9,"Must have strong understanding of data management and data visualization.
5+ years’ experience in business analysis, data analysis, and data.",San+Francisco,data analyst
Senior Survey Analytics Analyst,,"San Francisco, CA 94107 (Mission Bay area)",YouGov,4.1,"3-5 years experience in a similar role.
The successful candidate will use their programming skills to implement data processing systems and data pipelines,…",San+Francisco,data analyst
,,"San Francisco, CA+1 location","Evergreen Technologies, LLC.",4.0,"The Business Analyst II is responsible for day-to-day review of Service Requests, formal IT Work Intake Requests, hardware, and software purchases, developing…",San+Francisco,data analyst
Middle-Back Office Business Analyst – Fund Accounting,,"San Francisco, CA",Converged Security Solutions,,"Proficient in data analytics and SQL.
Perform detailed data analysis and testing as necessary.
Minimum 5 years of experience on project teams in the financial…",San+Francisco,data analyst
Budget Analyst/Accountant,,"Walnut Creek, CA 94595",Golden Rain Foundation,,"Gather and provide specific data for the reserve studies performed by outside professionals.
Minimum 3 years of related experience.",San+Francisco,data analyst
Principal Financial Analyst,,"Berkeley, CA","AAA Northern California, Nevada & Utah",3.3,"Ability to troubleshoot and resolve data issues.
Demonstrated ability to structure and conduct data analyses relevant to complex business issues.",San+Francisco,data analyst
Transmission Business Manager / Sr. Transmission Business An...,,"Oakland, CA",Primergy Solar Management LLC,,"We offer competitive benefits including paid parental leave, 401k matching, flexible work schedules, a supportive work environment, and most of all the…",San+Francisco,data analyst
"Product Analyst, Principal",,"Walnut Creek, CA 94597","AAA Northern California, Nevada & Utah",3.3,"Experience writing and optimizing SQL queries, data mining and working with large data sets, Strong knowledge of database structures including relational…",San+Francisco,data analyst
"Senior Manager/Associate Director, Payer Analytics",,"Brisbane, CA",Myovant Sciences,,"Minimum of 3-4 years of experience for Senior Manager level or minimum of 5 years of experience for Associate Director level in the pharmaceutical industry,…",San+Francisco,data analyst
Senior Product Analyst,,"San Francisco, CA",HomeLight,4.1,"Use statistical analysis or data mining tools to analyze data, identify insightful trends, and interpret the technical data into meaningful recommendations for…",San+Francisco,data analyst
Senior Data Strategist/Designer,,"San Francisco, CA",Samsung Research America,4.1,"Design user experiences with data.
Working experience in consumer big data strategy.
A senior data strategist will work closely with designers, technologists,…",San+Francisco,data analyst
Site Optimization/Web Analyst,"$86,500 a year","Redwood City, CA 94065 (Westport area)",Shutterfly,3.7,"Proven analytical skills demonstrated by the ability to collect and analyze data, and make recommendations based on that analysis.
The skills you'll bring.",San+Francisco,data analyst
"Manager, Machine Learning (Sr. Manager/Director)",,"San Francisco, CA",Instacart,2.9,"The machine learning organization works on a wide range of challenging problems in the domain of e-commerce and delivery, many of which require deep…",San+Francisco,data scientist
Ai/Hpc Field Application Engineer,,"Burlingame, CA 94010","quadric.io, Inc",,"Analyze technological problems brought in by customers and communicate with engineering for the best solution..
Automotive experience ADAS/AV preferred.",San+Francisco,data scientist
Director Of Machine Learning,,"San Mateo, CA 94402 (Nineteenth Avenue area)",Punchh,,"Outstanding software engineering background, with hands-on experience with deep learning frameworks.
Advanced degree (Ph.D. preferred) in computer science,…",San+Francisco,data scientist
Senior Software Engineer - Gameplay & Ai,,"Lafayette, CA 94549•Temporarily Remote","Nifty Games, Inc.",,"Work with project leads to identify and prioritize new and improved gameplay systems.
Collaborate with designers to ensure the systems you create are fun and…",San+Francisco,data scientist
"Senior Machine Learning Scientist, Ai",,"San Francisco, CA 94105 (Financial District/South Beach area)",SmartNews,,"Strong mentors of senior machine learning scientists and able to grow them to the next level.
Industry leading expertise in certain domain of machine learning…",San+Francisco,data scientist
,,"San Francisco, CA 94121 (Lincoln Park area)",NCIRE - The Veterans Health Research Institute,,"Experience in machine learning using “big data” management and analysis and data quality control.
Using “big data” to construct cohorts and answer clinically…",San+Francisco,data scientist
"Data Scientist / Senior Data Scientist, Analytics",,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations",DoorDash,3.3,"As a Data Scientist at DoorDash, you'll use your quantitative background to mentor other scientists and dive into large datasets to guide decision-making.",San+Francisco,data scientist
"Senior Data Scientist, Machine Learning (Multiple Teams)",,"San Francisco, CA 94105 (Financial District/South Beach area)",DoorDash,3.3,"You will work with other data scientists, engineers, analysts, and product managers to develop and iterate on models to help us grow our business.",San+Francisco,data scientist
"Human Resource Business Partner (Technology, Engineering And...",,"Redwood City, CA",Poshmark,4.6,"Company sponsors up to 100% cost for your health, dental and vision plans and up to 90% for your dependents.
Competitive salary and equity, based on experience.",San+Francisco,data scientist
"Senior Software Engineer, Applied Machine Learning",,"San Francisco, CA 94105 (Financial District/South Beach area)",SmartNews,,"Propose machine learning initiatives to fuel our business growth, build end to end machine learning framework/solution to improve our KPI/metrics.",San+Francisco,data scientist
Director Machine Learning Infrastructure & Applied Research,,"Berkeley, CA 94710",Eluvio,,"Strong experience with machine/deep learning algorithms (e.g. CNNs, residual networks, transformer, GAN, clustering, sequence models, …) and frameworks…",San+Francisco,data scientist
Senior Ml Engineer (Asr),"$104,864 - $203,221 a year","Redwood City, CA 94063 (Middlefield area)",Suki.ai,,"Expert in the understanding, practice, and deployment of deep neural network models.
Strong grasp of CS fundamentals including algorithms, data structures and…",San+Francisco,data scientist
"Senior Software Engineer, Natural Language Processing / Nlp",,"San Francisco, CA 94109 (Nob Hill area)+1 location",Recruiting From Scratch,,"End-to-end System Design and Implementation: Gather training data; train, deploy, evaluate, and iteratively improve production-grade machine learning systems;…",San+Francisco,data scientist
"Software Engineer, Machine Learning",,"San Francisco, CA 94105 (Financial District/South Beach area)",DoorDash,3.3,"Collaborate with other engineers, data scientists, and teammates across the product and business organizations.
4+ years of industry experience.",San+Francisco,data scientist
"Director Of Data Science, Machine Learning - Growth, Marketi...",,"San Francisco, CA 94105 (Financial District/South Beach area)",DoorDash,3.3,"8+ years of industry experience hiring and managing teams of data scientists / machine learning experts.
Good understanding of many quantitative disciplines…",San+Francisco,data scientist
Business Analyst/ Product Owner,,"Walnut Creek, CA 94598","Matrix Precise, Inc.",,"8+ years of enterprise software development experience as a business analyst.
Matrix Precise is a Technology Solutions Provider working with major corporations…",San+Francisco,data analyst
"Sr. Manager, Strategic Insights & Analytics",,"San Francisco, CA 94110 (Mission area)•Temporarily Remote",Eat Just,3.7,"Collect and analyze qualitative and quantitative data using a variety of research methods and data sources to understand consumer preferences, to develop…",San+Francisco,data analyst
,,"San Francisco, CA+1 location•Remote","Evergreen Technologies, LLC.",4.0,"A minimum of 5 years' experience in IT with at least 3 years of demonstrated excellence in the development, implementation and operational support of large…",San+Francisco,data analyst
Strategic Business Analyst,"$115,000 - $125,000 a year","San Francisco, CA",Control Risks,3.9,"Must have strong understanding of data management and data visualization.
5+ years’ experience in business analysis, data analysis, and data.",San+Francisco,data analyst
Senior Survey Analytics Analyst,,"San Francisco, CA 94107 (Mission Bay area)",YouGov,4.1,"3-5 years experience in a similar role.
The successful candidate will use their programming skills to implement data processing systems and data pipelines,…",San+Francisco,data analyst
,,"San Francisco, CA+1 location","Evergreen Technologies, LLC.",4.0,"The Business Analyst II is responsible for day-to-day review of Service Requests, formal IT Work Intake Requests, hardware, and software purchases, developing…",San+Francisco,data analyst
Middle-Back Office Business Analyst – Fund Accounting,,"San Francisco, CA",Converged Security Solutions,,"Proficient in data analytics and SQL.
Perform detailed data analysis and testing as necessary.
Minimum 5 years of experience on project teams in the financial…",San+Francisco,data analyst
Budget Analyst/Accountant,,"Walnut Creek, CA 94595",Golden Rain Foundation,,"Gather and provide specific data for the reserve studies performed by outside professionals.
Minimum 3 years of related experience.",San+Francisco,data analyst
Principal Financial Analyst,,"Berkeley, CA","AAA Northern California, Nevada & Utah",3.3,"Ability to troubleshoot and resolve data issues.
Demonstrated ability to structure and conduct data analyses relevant to complex business issues.",San+Francisco,data analyst
Transmission Business Manager / Sr. Transmission Business An...,,"Oakland, CA",Primergy Solar Management LLC,,"We offer competitive benefits including paid parental leave, 401k matching, flexible work schedules, a supportive work environment, and most of all the…",San+Francisco,data analyst
"Product Analyst, Principal",,"Walnut Creek, CA 94597","AAA Northern California, Nevada & Utah",3.3,"Experience writing and optimizing SQL queries, data mining and working with large data sets, Strong knowledge of database structures including relational…",San+Francisco,data analyst
"Senior Manager/Associate Director, Payer Analytics",,"Brisbane, CA",Myovant Sciences,,"Minimum of 3-4 years of experience for Senior Manager level or minimum of 5 years of experience for Associate Director level in the pharmaceutical industry,…",San+Francisco,data analyst
Senior Product Analyst,,"San Francisco, CA",HomeLight,4.1,"Use statistical analysis or data mining tools to analyze data, identify insightful trends, and interpret the technical data into meaningful recommendations for…",San+Francisco,data analyst
Senior Data Strategist/Designer,,"San Francisco, CA",Samsung Research America,4.1,"Design user experiences with data.
Working experience in consumer big data strategy.
A senior data strategist will work closely with designers, technologists,…",San+Francisco,data analyst
Site Optimization/Web Analyst,"$86,500 a year","Redwood City, CA 94065 (Westport area)",Shutterfly,3.7,"Proven analytical skills demonstrated by the ability to collect and analyze data, and make recommendations based on that analysis.
The skills you'll bring.",San+Francisco,data analyst
Ai/Hpc Field Application Engineer,,"Burlingame, CA 94010","quadric.io, Inc",,"Role: The Field Application Engineer (FAE) will work closely with Business Development, Product, and Engineering to provide pre-and post-sales technical…",San+Francisco,data scientist
Otter.Ai | Speaker Identification Engineer,,"San Francisco, CA 94109 (Nob Hill area)+6 locations•Remote",Recruiting From Scratch,,"Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…",San+Francisco,data scientist
Senior Software Engineer - Gameplay & Ai,,"Lafayette, CA 94549•Temporarily Remote","Nifty Games, Inc.",,Are you looking to take your career to the next level? Do you live and breathe the challenge of designing and implementing sports AI and behavior systems that…,San+Francisco,data scientist
"Senior Machine Learning Scientist, Ai",,"San Francisco, CA 94105 (Financial District/South Beach area)",SmartNews,,SmartNews is a leading mobile app of news aggregation services. It analyzes millions of articles to deliver most engaging information with high quality in near…,San+Francisco,data scientist
,,"San Francisco, CA 94121 (Lincoln Park area)",NCIRE - The Veterans Health Research Institute,,Northern California Institute for Research and Education (NCIRE) is the leading nonprofit research institute in the United States devoted to advancing…,San+Francisco,data scientist
"Data Scientist / Senior Data Scientist, Analytics",,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations",DoorDash,3.3,"About the Team The Analytics team is looking for experienced Data Scientists and Senior Data Scientists to guide measurement, strategy, and tactical decision…",San+Francisco,data scientist
"Senior Data Scientist, Machine Learning (Multiple Teams)",,"San Francisco, CA 94105 (Financial District/South Beach area)",DoorDash,3.3,"About the Team Come help us build the world's most reliable on-demand, logistics engine for delivery! We are bringing on talented senior Data Scientists to…",San+Francisco,data scientist
Machine Learning Engineer Iii,,"San Francisco, CA",Talent Search PRO,,"Qualifications: 5+ years of experience designing, building, deploying, testing, maintaining, monitoring and owning scalable, resilient and distributed data…",San+Francisco,data scientist
