title,salary,location,employer,employer_rating,summary,search_city,search_role
Head Of Ai And Data Science,"£61,832 - £79,656 a year",Wilmslow,Information Commissioner's Office,3.1,"The ICO’s technology group deals with some of the most complex privacy, data rights, data protection and emerging technology issues that society faces.",Manchester,data scientist
Data Scientist,,Manchester M3,Wejo,3.4,"Propose new data structures and methodologies for manipulation of connected car data.
Once prepared data is in place you will then utilise and apply the…",Manchester,data scientist
,,Manchester M1,Peak AI,,"Use data gathered from stakeholders across the business to design data driven learning solutions.
You will develop best practices in L&D within the people team…",Manchester,data scientist
Senior Data Scientist,,Manchester,NatWest Group,3.2,"You’ll be managing and leading with multidisciplinary teams of data engineers, data scientists and analysts in project teams, coaching and leading as…",Manchester,data scientist
Senior Data Scientist (Manchester Based With Hybrid/Remote W...,"£60,000 - £70,000 a year",Manchester•Temporarily Remote,Talenting,,"Designing and administering data warehouses.
Data mining, and data analysis.
Creating, implementing, and managing data projects.",Manchester,data scientist
Machine Learning Associate,,Manchester•Temporarily Remote,Cloud Imperium Games,,"Drive data collection and predictions while applying latest research and data techniques.
Integrate Machine Learning applications, toolkits libraries and…",Manchester,data scientist
Lead Decision Scientist,"£60,000 a year",Manchester M60,N Brown,2.9,"Telling the story of the data, and building a plan for cleaning and managing it, engaging with appropriate stakeholders to permanently fix data problems.",Manchester,data scientist
Lead Data Scientist (Technical Lead And Team Lead),"£52,051 - £63,175 a year",Manchester,Home Office,,"Ideally you will have a background in working with big data challenges and cloud-based technologies, and you will have some knowledge of creating apps, APIs or…",Manchester,data scientist
,"£47,100 a year",Bolton BL5 1EE•Remote,Aldi,3.3,"This fast paced and exciting role delivers information to the entire ALDI business by ensuring high data quality, delivered in informative and creative reports.",Manchester,data analyst
Information Security Risk Analyst,"£27,000 - £35,000 a year",Manchester•Remote,cinch cars Ltd,5.0,"You will also be responsible for conducting risk analysis, creating risk models and developing mitigation or resolution plans – this will involve elements of…",Manchester,data analyst
Business Intelligence Information Analyst,"£25,655 - £31,534 a year",Bolton BL4 0JR,Bolton NHS Foundation Trust,3.7,"To investigate and analyse highly complex data with multiple, sensitive outcomes.
To provide advice to individual project teams on collecting, reporting,…",Manchester,data analyst
Junior Excel Data Analyst (Outside Ir35),£120 a day,Manchester•Temporarily Remote,IT Talent Solutions Ltd,,"*Part remote/Part onsite (2 days onsite in Warrington 3 days remote)*.
Our leading client are recruiting for a junior or mid-level Excel Developer or Excel Data…",Manchester,data analyst
Mi Analyst,"£41,000 a year",Manchester•Remote,GXO Logistics,1.9,"Use of SQL to extract/data mine.
Ability to manipulate data using SQL (ETL).
Analyse complex data from multiple sources and create meaningful analysis.",Manchester,data analyst
"Analyst, Reconciliation",,Manchester,BNY Mellon,3.5,"Responsible for assisting in the data analysis of reconciliations.
Assists in the creation of the data analysis conclusions, recommendations and updates to…",Manchester,data analyst
Intelligence Analyst,"£25,000 - £30,000 a year",Bolton•Temporarily Remote,BYDAND RECRUITMENT SERVICES,,"As such, the role involves assimilating data and report information whilst also developing an appreciation for other areas such as data protection.",Manchester,data analyst
Data Analytics Degree Apprentice Scheme - Level 6,"£15,074 a year",Salford,BBC,4.2,"And data mining, forecasting and modelling techniques to identify and predict trends and patterns in data.
Support confident and timely decisions, by learning…",Manchester,data analyst
Reporting Analyst,"£21,000 - £25,000 a year",Manchester M1•Remote,McCurrach,3.1,"Delivering bespoke client reports - ensuring high level of data accuracy and bringing reports to life.
Preparing and uploading questionnaires and briefs for…",Manchester,data analyst
Technical Data Analyst,"£30,000 a year",Manchester M60,N Brown,2.9,"Maintain the data dictionary and take the lead on data change assessments.
Carry out data discovery, model data structures and map processes to reflect existing…",Manchester,data analyst
,"£30,000 - £40,000 a year",Chorley PR7 7NA,Speed Medical,2.9,"At least 5 years’ experience as a data analyst for a large commercial organisation.
In depth data analysis and presentation to senior management.",Manchester,data analyst
Forecast Analyst,"£24,000 a year",Manchester M60,N Brown,2.9,"The ideal candidate will be highly analytical, with excellent Excel skills and ideally come from a merchandising or data analyst background.",Manchester,data analyst
,,Manchester,BT,3.7,"Use data analytics – provide data analytics expertise, identifying trends and sharing business insights across the team.
25 days annual leave + Bank holidays.",Manchester,data analyst
Forecasting Analyst,"£25,000 - £33,000 a year",Manchester M16,BES Utilities,2.4,"Knowledge of data modelling, data cleansing and data enrichment techniques is advantageous.
Interpret numerical data patterns and identify trends and…",Manchester,data analyst
Research Analyst - Loan Reference Data (Entry-Level),,Manchester,IHS Markit,3.6,"Strong data analysis skills, ability to query and analyze large volumes of financial data.
The role also includes enhancing existing practices and alternatives…",Manchester,data analyst
Data Scientist,"£50,000 - £60,000 a year",Manchester•Remote,ISR Recruitment,,"Working closely with data engineers to identify gaps in data availability and quality.
Experience in AI and cloud data analytics tool (i.e. Amazon Web Services …",Manchester,data scientist
Data Science Software Engineer,,Manchester,Roke,3.0,"Techniques and toolkits for data cleansing, data preparation, data processing, fusion and analysis.
Our data analytics work encompasses all types of data,…",Manchester,data scientist
