title,salary,location,employer,employer_rating,summary,search_city,search_role
Metabolomics Associate Data Scientist,,"San Francisco Bay Area, CA+1 location•Remote work available",Lawrence Berkeley National Laboratory,4.2,"Familiarity with cutting edge data analysis approaches in machine learning.
Ability to integrate findings from mass spectrometry data with other types of data…",San+Francisco,data scientist
"Data Scientist, Workforce Management",,"San Francisco, CA 94111 (Financial District/South Beach area)+1 location",First Republic Bank,3.9,"The candidate is expected to work closely with the bank business analysts and other data scientists, business partners and other technology partners to gather…",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA",BICP,,"We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving…",San+Francisco,data scientist
Data Analyst,,"San Francisco, CA",Affinity.co,5.0,"Uphold high standards of data ethics and the responsible use of data.
Effectively visualize data in a meaningful and informative way.",San+Francisco,data analyst
,,"San Francisco, CA 94105 (Financial District/South Beach area)+1 location",Salesforce,4.3,"Extremely adept at integrating disparate information, correlating data, and understanding data trends.
The ideal candidate thrives in delivering solutions to…",San+Francisco,data analyst
,,"San Francisco, CA 94103 (Mission area)",City and County of San Francisco,4.0,Teleworking may be allowed up to 3 days/week but applicant must be able to meet the City's telework policies and management reserves the right to cancel at any…,San+Francisco,data analyst
People Data Analyst,,"San Francisco, CA",Facebook App,4.1,"Experience with data management, specifically with building data systems and validating reports from disparate systems.
Experience with R or Python.",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA 94114 (Castro-Upper Market area)",National Education Partners,4.3,"Authenticates and interprets data based on results using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data…",San+Francisco,data analyst
"Research Analyst (6256U), Haas School Of Business 28867",,"Berkeley, CA 94720",University of California Berkeley,4.2,"Utilizes software to enter, manipulate, and report data.
Uses multiple statistical analysis programs to process, clean, and analyze data.",San+Francisco,data analyst
Risk Adjustment Data Analyst,,"Oakland, CA",Kaiser Permanente,4.1,Supports data preparation for analytic efforts under the guidance of more senior employees by cleaning data to ensure quality and accuracy based on provided…,San+Francisco,data analyst
,,"Redwood City, CA",Stanford University,4.2,"Lead the implementation of data standards and common data elements for data collection.
Ensure accuracy of data entered into primary data repositories.",San+Francisco,data analyst
,,"San Francisco, CA","JPMorgan Chase Bank, N.A.",3.9,"Ensure precise quality control of the accuracy, completeness, and consistency of ESG data according to JPMC and OpenInvest data integrity standards by…",San+Francisco,data analyst
Research And Data Analyst,,"Oakland, CA•Temporarily Remote",The Education Trust,4.0,"Perform quality assurance checks on analyses and data statements.
Create engaging presentations and briefs summarizing data points and analyses.",San+Francisco,data analyst
Data & Systems Analyst,,"San Francisco, CA 94133 (Chinatown area)",Kai Ming Head Start,4.6,"Support data modeling, data validation, and reconciliation.
Have a big vision about telling a story through data, and also be detail-oriented when working with…",San+Francisco,data analyst
Clinical Revenue And Research Data Analyst,,"San Francisco, CA 94143 (Inner Sunset area)•Remote work available",University of California San Francisco,4.1,"Minimum 5 years’ experience in data analytics, data management, or related.
Familiarity with logical data design and data mapping or data conversion.",San+Francisco,data analyst
Analyst,,"San Francisco, CA 94124 (Bayview Hunters Point area)",Nan McKay,3.3,"Background in data relationships, data mining and quantitative vs. qualitative analysis.
Analyze data to identify significant differences, relationships and…",San+Francisco,data analyst
Data Visualization Analyst,,"San Francisco, CA+1 location•Temporarily Remote",Surya Systems,,"Looker, Data Modeling, Tableau, SQL, Python, dashboards.",San+Francisco,data analyst
Data Analyst,,"Redwood City, CA 94065 (Dolphin area)",Electronic Arts,3.8,"Tell compelling stories supported by data using Power BI.
3+ years' experience building dashboards, developing data models and generating visualizations.",San+Francisco,data analyst
Data Scientist I,,"San Francisco, CA (Financial District/South Beach area)",Levi Strauss & Co.,3.9,"Use experience with data gathering and cleaning, exploratory data analysis, data visualization, and advanced modeling to communicate applicable insights and…",San+Francisco,data scientist
"Lead Data Scientist, Product Analytics",,"San Francisco, CA",Adobe,4.3,"Prioritize and lead deep dives into Adobe Creative Cloud Express data to uncover new product and business opportunities, including using machine learning to…",San+Francisco,data scientist
"Data Scientist, Business Operations",,"San Francisco, CA 94110 (Mission area)+1 location",Notion,,"You've spent meaningful time as a data scientist partnering with finance, business operations, and/or sales teams.",San+Francisco,data scientist
"Data Scientist, Lending",,"San Francisco, CA",LendingClub,3.6,Extract insights from massive and highly complex data sets to identify credit and fraud risk patterns through advanced data mining.,San+Francisco,data scientist
Data Scientist - Drug Discovery / Novartis / Nibr / Bay Area,,"Emeryville, CA 94608",Novartis,4.1,The successful candidate will join a small team of data scientists in the Bay Area to glean scientific insights from internally generated and externally curated…,San+Francisco,data scientist
Staff Scientist - Computational Chemistry & Data Science,,"Emeryville, CA",Sepion Technologies,,"You will work closely with a multidisciplinary team of experimentalists including chemists, chemical engineers, and materials scientists, as well as with…",San+Francisco,data scientist
Product Data Scientist,,"San Francisco, CA+1 location",Philo Inc.,,You’ll be working closely with other data scientists and engineers to build and deploy solutions directly for our service.,San+Francisco,data scientist
Data Scientist,,"Foster City, CA",Gilead Sciences,3.6,"Possesses a deep understanding of data science methodologies, machine learning concepts, and deep learning best practices, including addressing class imbalance,…",San+Francisco,data scientist
,,"San Francisco, CA+2 locations",Johnson & Johnson Family of Companies,4.2,Deliver scalable machine learning solutions and insights to impact functions and therapeutic areas within R&D and participate in cross-functional collaborations…,San+Francisco,data scientist
Senior Data Scientist,,"Foster City, CA",Visa,3.9,"Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
Communicating evidence based insights and conveying…",San+Francisco,data scientist
,,"San Francisco Bay Area, CA•Remote",Algonomy,,"Analyze large sets of data to derive business insights using appropriate analytical techniques.
Minimum 3 years’ experience in analytics consulting clients in…",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA",EasyPost,2.9,"O Contribute to existing internal and external machine learning-based products via researching new methodologies, creating new measurement/validation techniques…",San+Francisco,data scientist
"Data Scientist, Translational Bioinformatics",,"South San Francisco, CA",Calico,4.5,Yet deriving valuable scientific insights requires careful analysis and interpretation performed in close collaboration with computational and life scientists.,San+Francisco,data scientist
"Staff Data Scientist, Virtual Hq - Slack",,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations•Remote work available",Salesforce,4.3,Evangelize evidence-based decision making by partnering with key decision makers and driving general accessibility of data and insights.,San+Francisco,data scientist
"Data Scientist, Finance Analytics",,"San Francisco, CA",Extend,,"Work with our Risk & Analytics team to build deep-dive analytics to help drive step-change improvements in efficiency (beyond day-to-day workforce management),…",San+Francisco,data scientist
,,"Alameda, CA",Astra,4.1,"Work with our data engineers to validate our data.
Our products include Astra's Data Lake, data streaming services and machine learning enhanced data analysis…",San+Francisco,data analyst
Corporate Sustainability Analyst (Ghg Emissions Data Managem...,,"San Francisco, CA 94105 (Financial District/South Beach area)",BlackRock,3.8,Manage data collection methodologies and help build a process of continuous improvement to quantify BlackRock's environmental impacts.,San+Francisco,data analyst
Business Analyst,,"Emeryville, CA 94608",STAT Revenue,3.0,"Validate and analyze internally and externally generated data.
Summarize data and present analysis with a focus on delivering results.",San+Francisco,data analyst
"Data Analyst, Trust And Safety",,"San Francisco, CA+5 locations","Twitch Interactive, Inc.",3.5,"Manage one or more safety data products end to end; guide workstreams including data pipelining, data analysis, metric definition, dashboard building and data…",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA+1 location",Adyen,3.5,"Data Analysis - Determine the necessary data required to solve a wide variety of business problems; extract required data, and draw conclusions and…",San+Francisco,data analyst
,,"Oakland, CA+1 location",Kaiser Permanente,4.1,Prepares data for analytic efforts by consolidating data; reviewing data for quality and accuracy; profiling data inaccuracies; and cleaning and creating final…,San+Francisco,data analyst
Financial Analyst I/Ii,,"Pacifica, CA 94044",City of Pacifica,3.7,Conducts surveys and performs research and statistical analyses; compile and analyze data; prepare summary reports; make recommendations based on information…,San+Francisco,data analyst
